           1 -0.170249999      -3.03399992    
         153  -8.75000004E-03  -13.0270004    
         154  -6.35000020E-02  -13.0810003    
         155  -2.82499995E-02  -13.1355000    
         156  -3.40000018E-02  -13.1875000    
         157  -4.19999994E-02  -13.2500000    
         158  -3.62499990E-02  -13.3020000    
         159  -3.84999998E-02  -13.3590002    
         160  -2.50000004E-02  -13.4344997    
         161  -3.24999988E-02  -13.5059996    
         162  -3.79999988E-02  -13.5745001    
         163  -8.24999996E-03  -13.6365004    
         164  -2.89999992E-02  -13.6984997    
         165  -1.72499996E-02  -13.7624998    
         166  -9.99999978E-03  -13.8299999    
         167  -2.52500009E-02  -13.8824997    
         168  -2.92499997E-02  -13.9445000    
         169  -5.00000024E-04  -14.0000000    
         170  -1.64999999E-02  -14.0555000    
         171  -1.92499999E-02  -14.1110001    
         172  -2.42500007E-02  -14.1704998    
         173  -3.27499993E-02  -14.2440004    
         174  -2.57500000E-02  -14.2965002    
         175  -4.05000001E-02  -14.3649998    
         176  -3.62499990E-02  -14.4250002    
         177  -3.75000015E-02  -14.4890003    
         178  -4.10000011E-02  -14.5625000    
         179  -2.09999997E-02  -14.6225004    
         180  -2.77500004E-02  -14.6885004    
         181  -5.49999997E-02  -14.7524996    
         182  -1.20000001E-02  -14.8179998    
         183  -5.35000004E-02  -14.8769999    
         184  -6.44999966E-02  -14.9399996    
         185  -5.67499995E-02  -15.0035000    
         186  -4.54999991E-02  -15.0710001    
         187  -5.40000014E-02  -15.1359997    
         188  -4.67500016E-02  -15.2014999    
         189  -4.12500016E-02  -15.2624998    
         190  -2.44999994E-02  -15.3199997    
         191  -2.12500002E-02  -15.3894997    
         192  -1.97500009E-02  -15.4565001    
         193  -3.40000018E-02  -15.5050001    
         194  -5.90000004E-02  -15.5629997    
         195  -4.52499986E-02  -15.6285000    
         196  -3.95000018E-02  -15.7054996    
         197  -4.47500013E-02  -15.7700005    
         198  -5.35000004E-02  -15.8485003    
         199  -3.99999991E-02  -15.9110003    
         200  -3.72500010E-02  -15.9794998    
         201  -3.64999995E-02  -16.0464993    
         202  -4.32499982E-02  -16.1095009    
         203  -3.40000018E-02  -16.1825008    
         204  -2.44999994E-02  -16.2700005    
         205  -5.92500009E-02  -16.3404999    
         206  -4.57499996E-02  -16.4044991    
         207  -5.12499996E-02  -16.4575005    
         208  -6.04999997E-02  -16.5209999    
         209  -5.97499982E-02  -16.5795002    
         210  -4.80000004E-02  -16.6415005    
         211  -4.10000011E-02  -16.7105007    
         212  -5.77500015E-02  -16.7670002    
         213  -6.15000017E-02  -16.8479996    
         214  -3.64999995E-02  -16.9015007    
         215  -3.12500000E-02  -16.9594994    
         216  -6.72499985E-02  -17.0400009    
         217  -5.05000018E-02  -17.1060009    
         218  -6.52500018E-02  -17.1784992    
         219  -5.60000017E-02  -17.2385006    
         220  -3.24999988E-02  -17.2924995    
         221  -3.02499998E-02  -17.3535004    
         222  -4.65000011E-02  -17.4034996    
         223  -4.57499996E-02  -17.4619999    
         224  -5.29999994E-02  -17.5254993    
         225  -5.32499999E-02  -17.6040001    
         226  -5.17500006E-02  -17.6770000    
         227  -5.77500015E-02  -17.7385006    
         228  -4.10000011E-02  -17.8045006    
         229  -4.72499989E-02  -17.8705006    
         230  -5.44999987E-02  -17.9260006    
         231  -5.95000014E-02  -17.9909992    
         232  -3.02499998E-02  -18.0615005    
         233  -3.64999995E-02  -18.1340008    
         234  -2.50000004E-02  -18.2064991    
         235  -3.90000008E-02  -18.2705002    
         236  -5.29999994E-02  -18.3435001    
         237  -5.62499985E-02  -18.4060001    
         238  -2.92499997E-02  -18.4629993    
         239  -3.07500008E-02  -18.5189991    
         240  -1.85000002E-02  -18.5769997    
         241  -3.29999998E-02  -18.6429996    
         242  -3.57500017E-02  -18.7134991    
         243  -2.77500004E-02  -18.7810001    
         244  -3.40000018E-02  -18.8379993    
         245  -4.54999991E-02  -18.9020004    
         246  -5.32499999E-02  -18.9624996    
         247  -4.94999997E-02  -19.0445004    
         248  -4.67500016E-02  -19.1014996    
         249  -3.55000012E-02  -19.1625004    
         250  -5.09999990E-02  -19.2250004    
         251  -4.92499992E-02  -19.2849998    
         252  -5.24999984E-02  -19.3430004    
         253  -6.30000010E-02  -19.3945007    
         254  -5.87499999E-02  -19.4594994    
         255  -4.65000011E-02  -19.5510006    
         256  -5.29999994E-02  -19.6089993    
         257  -5.67499995E-02  -19.6679993    
         258  -4.82500009E-02  -19.7320004    
         259  -6.62499964E-02  -19.7915001    
         260  -7.45000020E-02  -19.8530006    
         261  -6.49999976E-02  -19.9169998    
         262  -5.37500009E-02  -19.9880009    
         263  -3.67500000E-02  -20.0620003    
         264  -4.14999984E-02  -20.1189995    
         265  -6.84999973E-02  -20.1900005    
         266  -3.87500003E-02  -20.2535000    
         267  -5.64999990E-02  -20.3120003    
         268  -4.82500009E-02  -20.3799992    
         269  -5.79999983E-02  -20.4319992    
         270  -8.42500031E-02  -20.5105000    
         271  -7.19999969E-02  -20.5779991    
         272  -7.24999979E-02  -20.6329994    
         273  -8.25000033E-02  -20.7029991    
         274  -7.34999999E-02  -20.7609997    
         275  -6.67499974E-02  -20.8225002    
         276  -4.05000001E-02  -20.9060001    
         277  -5.77500015E-02  -20.9750004    
         278  -7.82499984E-02  -21.0330009    
         279  -5.62499985E-02  -21.1075001    
         280  -6.04999997E-02  -21.1595001    
         281  -3.92500013E-02  -21.2175007    
         282  -5.75000010E-02  -21.2814999    
         283  -5.44999987E-02  -21.3390007    
         284  -5.60000017E-02  -21.4050007    
         285  -4.30000015E-02  -21.4489994    
         286  -6.32499978E-02  -21.5184994    
         287  -6.15000017E-02  -21.5769997    
         288  -5.00000007E-02  -21.6415005    
         289  -6.80000037E-02  -21.7049999    
         290  -5.77500015E-02  -21.7754993    
         291  -4.92499992E-02  -21.8414993    
         292  -4.69999984E-02  -21.9220009    
         293  -4.45000008E-02  -21.9799995    
         294  -6.07500002E-02  -22.0590000    
         295  -4.82500009E-02  -22.1289997    
         296  -2.95000002E-02  -22.1865005    
         297  -3.72500010E-02  -22.2479992    
         298  -3.95000018E-02  -22.2994995    
         299  -4.37499993E-02  -22.3584995    
         300  -4.47500013E-02  -22.4314995    
         301  -3.79999988E-02  -22.4895000    
         302  -3.79999988E-02  -22.5650005    
         303  -2.97500007E-02  -22.6429996    
         304  -3.29999998E-02  -22.7035007    
         305  -3.05000003E-02  -22.7625008    
         306  -3.50000001E-02  -22.8230000    
         307  -6.02499992E-02  -22.9074993    
         308  -4.52499986E-02  -22.9654999    
         309  -4.07500006E-02  -23.0524998    
         310  -2.12500002E-02  -23.1044998    
         311  -2.80000009E-02  -23.1720009    
         312  -3.24999988E-02  -23.2355003    
         313  -2.70000007E-02  -23.2929993    
         314  -3.07500008E-02  -23.3640003    
         315  -3.92500013E-02  -23.4134998    
         316  -4.02499996E-02  -23.4650002    
         317  -5.15000001E-02  -23.5235004    
         318  -4.10000011E-02  -23.5900002    
         319  -2.85000000E-02  -23.6534996    
         320  -4.05000001E-02  -23.7280006    
         321  -3.47499996E-02  -23.7950001    
         322  -3.59999985E-02  -23.8614998    
         323  -6.15000017E-02  -23.9360008    
         324  -4.67500016E-02  -23.9845009    
         325  -4.12500016E-02  -24.0610008    
         326  -5.17500006E-02  -24.1264992    
         327  -3.27499993E-02  -24.1840000    
         328  -5.40000014E-02  -24.2560005    
         329  -3.40000018E-02  -24.3269997    
         330  -4.67500016E-02  -24.3810005    
         331  -3.27499993E-02  -24.4480000    
         332  -3.99999991E-02  -24.5009995    
         333  -2.97500007E-02  -24.5690002    
         334  -3.90000008E-02  -24.6299992    
         335  -6.15000017E-02  -24.7105007    
         336  -4.02499996E-02  -24.7700005    
         337  -4.05000001E-02  -24.8395004    
         338  -3.50000001E-02  -24.8880005    
         339  -5.00000007E-02  -24.9564991    
         340  -3.15000005E-02  -25.0349998    
         341  -4.60000001E-02  -25.0995007    
         342  -4.37499993E-02  -25.1669998    
         343  -3.27499993E-02  -25.2380009    
         344  -6.27499968E-02  -25.2900009    
         345  -3.79999988E-02  -25.3465004    
         346  -2.67500002E-02  -25.4160004    
         347  -5.37500009E-02  -25.4810009    
