 Iterations, Maximum_Neighbours
       14280 ,         101
       14320 ,         104
       14360 ,         104
       14400 ,         107
       14440 ,         106
       14480 ,         106
       14520 ,         107
       14560 ,         103
       14600 ,         106
       14640 ,         104
       14680 ,         105
       14720 ,         102
       14760 ,         104
       14800 ,         103
       14840 ,         102
       14880 ,         100
       14920 ,         102
       14960 ,         104
       15000 ,         105
       15040 ,         100
       15080 ,          99
       15120 ,          99
       15160 ,          99
       15200 ,          97
       15240 ,         100
       15280 ,          97
       15320 ,         100
       15360 ,          97
       15400 ,          95
       15440 ,          95
       15480 ,          95
       15520 ,          94
       15560 ,          94
       15600 ,          92
       15640 ,          93
       15680 ,          90
       15720 ,          95
       15760 ,          91
       15800 ,          90
       15840 ,          93
       15880 ,          92
       15920 ,          90
       15960 ,          88
       16000 ,          87
       16040 ,          87
       16080 ,          84
       16120 ,          86
       16160 ,          87
       16200 ,          86
       16240 ,          84
       16280 ,          83
       16320 ,          83
       16360 ,          83
       16400 ,          84
       16440 ,          84
       16480 ,          83
       16520 ,          80
       16560 ,          82
       16600 ,          82
       16640 ,          81
       16680 ,          80
       16720 ,          83
       16760 ,          82
       16800 ,          80
       16840 ,          83
       16880 ,          81
       16920 ,          81
       16960 ,          83
       17000 ,          83
       17040 ,          84
       17080 ,          83
       17120 ,          82
       17160 ,          85
       17200 ,          83
       17240 ,          82
       17280 ,          84
       17320 ,          83
       17360 ,          86
       17400 ,          87
       17440 ,          87
       17480 ,          85
       17520 ,          83
       17560 ,          83
       17600 ,          85
       17640 ,          84
       17680 ,          84
       17720 ,          87
       17760 ,          88
       17800 ,          90
       17840 ,          85
       17880 ,          88
       17920 ,          84
       17960 ,          80
       18000 ,          83
       18040 ,          82
       18080 ,          81
       18120 ,          83
       18160 ,          82
       18200 ,          85
       18240 ,          85
       18280 ,          81
       18320 ,          80
       18360 ,          85
       18400 ,          87
       18440 ,          87
       18480 ,          84
       18520 ,          84
       18560 ,          82
       18600 ,          80
       18640 ,          81
       18680 ,          83
       18720 ,          84
       18760 ,          84
       18800 ,          86
       18840 ,          85
       18880 ,          85
       18920 ,          85
       18960 ,          87
       19000 ,          88
       19040 ,          89
       19080 ,          89
       19120 ,          90
       19160 ,          91
       19200 ,          92
       19240 ,          91
       19280 ,          91
       19320 ,          91
       19360 ,          89
       19400 ,          89
       19440 ,          90
       19480 ,          93
       19520 ,          95
       19560 ,          95
       19600 ,          96
       19640 ,          94
       19680 ,          95
       19720 ,          94
       19760 ,          95
       19800 ,          96
       19840 ,          99
       19880 ,         100
       19920 ,          97
       19960 ,          95
       20000 ,          94
       20040 ,          96
       20080 ,          98
       20120 ,          99
       20160 ,          94
       20200 ,          96
       20240 ,          95
       20280 ,          93
       20320 ,          94
       20360 ,          92
       20400 ,          89
       20440 ,          90
       20480 ,          88
       20520 ,          88
       20560 ,          89
       20600 ,          89
       20640 ,          87
       20680 ,          87
       20720 ,          89
       20760 ,          89
       20800 ,          93
       20840 ,          93
       20880 ,          92
       20920 ,          93
       20960 ,          89
       21000 ,          90
       21040 ,          90
       21080 ,          92
       21120 ,          92
       21160 ,          90
       21200 ,          92
       21240 ,          92
       21280 ,          91
       21320 ,          93
       21360 ,          88
       21400 ,          89
       21440 ,          88
       21480 ,          89
       21520 ,          90
       21560 ,          90
       21600 ,          91
       21640 ,          91
       21680 ,          91
       21720 ,          94
       21760 ,          97
       21800 ,          97
       21840 ,          96
       21880 ,          95
       21920 ,          94
       21960 ,          98
       22000 ,         100
       22040 ,         102
       22080 ,         105
       22120 ,         106
       22160 ,         102
       22200 ,         104
       22240 ,         103
       22280 ,         105
       22320 ,         106
       22360 ,         108
       22400 ,         105
       22440 ,         104
       22480 ,         100
       22520 ,          96
       22560 ,         101
       22600 ,         102
       22640 ,          96
       22680 ,          98
       22720 ,          92
       22760 ,          96
       22800 ,          97
       22840 ,          95
       22880 ,         101
       22920 ,         103
       22960 ,         101
       23000 ,         102
       23040 ,         100
       23080 ,         101
       23120 ,          99
       23160 ,          97
       23200 ,          95
       23240 ,          93
       23280 ,          89
       23320 ,          90
       23360 ,          87
       23400 ,          89
       23440 ,          88
       23480 ,          87
       23520 ,          93
       23560 ,          99
       23600 ,          98
       23640 ,          97
       23680 ,          97
       23720 ,          92
       23760 ,          86
       23800 ,          86
       23840 ,          86
       23880 ,          87
       23920 ,          87
       23960 ,          85
       24000 ,          88
       24040 ,          88
       24080 ,          88
       24120 ,          90
       24160 ,          91
       24200 ,          91
       24240 ,          89
       24280 ,          89
       24320 ,          89
       24360 ,          90
       24400 ,          93
       24440 ,          92
       24480 ,          90
       24520 ,          91
       24560 ,          89
       24600 ,          90
       24640 ,          89
       24680 ,          87
       24720 ,          89
       24760 ,          90
       24800 ,          90
       24840 ,          93
       24880 ,          94
       24920 ,          92
       24960 ,          92
       25000 ,          95
       25040 ,          93
       25080 ,          90
       25120 ,          93
       25160 ,          93
       25200 ,          92
       25240 ,          93
       25280 ,          94
       25320 ,          93
       25360 ,          92
       25400 ,          93
       25440 ,          96
       25480 ,          94
       25520 ,          97
       25560 ,          95
       25600 ,          94
       25640 ,          96
       25680 ,          93
       25720 ,          97
       25760 ,          98
       25800 ,         100
       25840 ,         102
       25880 ,         100
       25920 ,         101
       25960 ,          97
       26000 ,          98
       26040 ,          98
       26080 ,          97
       26120 ,          98
       26160 ,          97
       26200 ,          97
       26240 ,         101
       26280 ,         106
       26320 ,         102
       26360 ,          99
       26400 ,         101
       26440 ,         102
       26480 ,         100
       26520 ,          98
       26560 ,         102
       26600 ,         104
       26640 ,         102
       26680 ,         102
       26720 ,         102
       26760 ,         101
       26800 ,         104
       26840 ,          97
       26880 ,          97
       26920 ,          98
       26960 ,          99
       27000 ,         100
       27040 ,         100
       27080 ,          99
       27120 ,         101
       27160 ,         101
       27200 ,         101
       27240 ,          98
       27280 ,          95
       27320 ,          97
       27360 ,          97
       27400 ,          95
       27440 ,          95
       27480 ,          95
       27520 ,          94
       27560 ,          95
       27600 ,          97
       27640 ,          94
       27680 ,          97
       27720 ,          99
       27760 ,          95
       27800 ,          93
       27840 ,          93
       27880 ,          89
       27920 ,          93
       27960 ,          92
       28000 ,          91
       28040 ,          89
       28080 ,          90
       28120 ,          94
       28160 ,          93
       28200 ,          90
       28240 ,          91
       28280 ,          91
       28320 ,          88
       28360 ,          89
       28400 ,          92
       28440 ,          92
       28480 ,          88
       28520 ,          86
       28560 ,          88
       28600 ,          89
       28640 ,          88
       28680 ,          91
       28720 ,          89
       28760 ,          90
       28800 ,          89
       28840 ,          91
       28880 ,          90
       28920 ,          90
       28960 ,          92
